"name","quarterly_price","yearly_price","full_yearly_price","quarterly_url","yearly_url","features","image_url"
"Brons",120,395,495,"https://pages.prana.be/prana-flix-brons#kwartaal","https://pages.prana.be/prana-flix-brons#jaar","Selfcoaching Essentials; Selfcoaching advanced; > 30 audio selfcoaching oefeningen; Overtuigingen herprogrammeren; mindset en overtuigingen: 7 trainingen; Persoonlijke groei : 5 trainingen; Communicatie: 7 trainingen; Stress, slapen mentaal welzijn: 9 trainingen; Voeding, beweging, gezondheid:; Burnout begeleiding; budgetcoaching; + 2 nieuwe trainingen /jaar; 14 dagen bedenktijd","https://aws.cdn-plugandpay.com/media/tenants/1610/202412/fc6355ef7bb5ebc78d01a50992b69f47-prana-flix-brons-at-2x.png"
"Zilver",150,495,595,"https://pages.prana.be/prana-flix-zilver#kwartaal","https://pages.prana.be/prana-flix-zilver#jaar","Alles van BRONS +; 2-wekelijkse online selfcoaching live sessies + opnames; 1/md Q&A sessie + opnames; 1/md nieuwe live training + opnames; 2/md wegwijs in Prana-flix; > 20 extra doelgerichte meditatie oefeningen; Alumni dag (jaarlijkse fysieke training); Babbelbox; Community; 14 dagen bedenktijd","https://aws.cdn-plugandpay.com/media/tenants/1610/202412/0347bcb3a492e1cc59c1e26ad19a92d4-prana-flix-zilver-at-2x.png"
"Goud",195,695,795,"https://pages.prana.be/prana-flix-goud#kwartaal","https://pages.prana.be/prana-flix-goud#jaar","Alles van ZILVER +; 4 x persoonlijke coaching/jr; Een uitgewerkt persoonlijk stappenplan; App als persoonlijke assistent; Boek en werkboek - de kracht van overtuigingen; 14 dagen bedenktijd","https://aws.cdn-plugandpay.com/media/tenants/1610/202412/10b0e3ad0df801f73f1db83b39943c4b-prana-flix-goud-at-2x.png"
