"name","quarterly_price","yearly_price","full_yearly_price","url","features"
"Brons",120,395,495,"https://pages.prana.be/checkout/prana-flix-brons","30 dagen Budgetcoaching; Selfcoaching Essentials; Selfcoaching Advanced; >30 audio selfcoaching oefeningen; Overtuigingen herprogrammeren; Mindset en overtuigingen: 7 trainingen; Persoonlijke Groei: 5 trainingen; Communicatie: 7 trainingen; Stress, slapen mentaal welzijn: 9 trainingen; Voeding, beweging, gezondheid; Burnout begeleiding; +2 nieuwe trainingen/jaar; 14 dagen bedenktijd"
"Zilver",150,495,595,"https://pages.prana.be/checkout/prana-flix-zilver","Alles van BRONS +; 2-wekelijkse online selfcoaching live sessies + opnames; 1/md Q&A sessie + opnames; 1/md nieuwe live training + opnames; 2/md wegwijs in Prana-flix; Babbelbox Community; BONUS 1: >20 extra doelgerichte meditatie oefeningen; BONUS 2: Alumni dag (jaarlijkse fysieke training); 14 dagen bedenktijd"
"Goud",195,695,795,"https://pages.prana.be/checkout/prana-flix-goud","Alles van ZILVER +; 1 x persoonlijke 1:1 coaching / 3 maand; Een uitgewerkt persoonlijk stappenplan; A.I. App als persoonlijke assistent (in ontwikkeling); 14 dagen bedenktijd "
